id,title,genres,averageRating,numVotes,releaseYear
tt0111161,"The Shawshank Redemption",Drama,9.3,2952034,1994
tt0068646,"The Godfather","Crime, Drama",9.2,2057905,1972
tt0252487,"The Chaos Class",Comedy,9.2,43579,1975
tt0259534,"Ramayana: The Legend of Prince Rama","Action, Adventure, Animation",9.2,15415,1993
tt16747572,"The Silence of Swastika","Documentary, History",9.2,10567,2021
tt0468569,"The Dark Knight","Action, Crime, Drama",9,2933285,2008
tt0167260,"The Lord of the Rings: The Return of the King","Action, Adventure, Drama",9,2020924,2003
tt0108052,"Schindler's List","Biography, Drama, History",9,1480923,1993
tt0071562,"The Godfather Part II","Crime, Drama",9,1390693,1974
tt0050083,"12 Angry Men","Crime, Drama",9,888530,1957
tt27719898,Kaiva,"Action, Drama, Romance",9,68915,2023
tt0110912,"Pulp Fiction","Crime, Drama",8.9,2266929,1994
tt0120737,"The Lord of the Rings: The Fellowship of the Ring","Action, Adventure, Drama",8.9,2050527,2001
tt5354160,"Mirror Game","Crime, Mystery, Thriller",8.9,30062,2016
tt0253828,"Tosun Pasha",Comedy,8.9,24998,1976
tt0252488,"The Chaos Class Failed the Class",Comedy,8.9,24981,1975
tt5275892,"O.J.: Made in America","Biography, Crime, Documentary",8.9,22617,2016
tt0075143,"The Message","Action, Adventure, Biography",8.9,10967,1976
tt1375666,Inception,"Action, Adventure, Sci-Fi",8.8,2603247,2010
tt0137523,"Fight Club",Drama,8.8,2383873,1999
tt0109830,"Forrest Gump","Drama, Romance",8.8,2309567,1994
tt0167261,"The Lord of the Rings: The Two Towers","Action, Adventure, Drama",8.8,1822000,2002
tt0060196,"The Good, the Bad and the Ugly","Adventure, Drama, Western",8.8,827229,1966
tt23849204,"12th Fail","Biography, Drama",8.8,131381,2023
tt16492678,"Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc","Action, Animation, Fantasy",8.8,25802,2021
tt0253779,"The Foster Brothers",Comedy,8.8,21343,1976
tt0084302,"The Marathon Family","Comedy, Drama",8.8,17240,1982
tt14888874,"Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc","Action, Animation, Fantasy",8.8,16796,2020
tt10534500,#Home,"Drama, Family",8.8,15948,2021
tt17592606,Daman,"Adventure, Drama",8.8,13701,2022
tt0086935,"Balkan Spy","Comedy, Drama",8.8,12632,1984
tt2077886,"The Phantom of the Opera at the Royal Albert Hall","Drama, Musical, Romance",8.8,10128,2011
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",8.7,2175313,2014
tt0133093,"The Matrix","Action, Sci-Fi",8.7,2096031,1999
tt0080684,"Star Wars: Episode V - The Empire Strikes Back","Action, Adventure, Fantasy",8.7,1405462,1980
tt0099685,Goodfellas,"Biography, Crime, Drama",8.7,1284792,1990
tt0073486,"One Flew Over the Cuckoo's Nest",Drama,8.7,1089746,1975
tt15097216,"Jai Bhim","Crime, Drama, Mystery",8.7,220797,2021
tt10189514,"Soorarai Pottru",Drama,8.7,125717,2020
tt9263550,"Rocketry: The Nambi Effect","Biography, Drama",8.7,59708,2022
tt7466810,"777 Charlie","Adventure, Comedy, Drama",8.7,41588,2022
tt0093603,Nayakan,"Crime, Drama",8.7,25410,1987
tt0088178,"Stop Making Sense","Documentary, Music",8.7,21560,1984
tt0252490,"The Chaos Class Is Waking Up",Comedy,8.7,21161,1976
tt8176054,"Pariyerum Perumal",Drama,8.7,18991,2018
tt0253614,"Saban, Son of Saban",Comedy,8.7,18990,1977
tt0252597,"Feyzo, the Polite One","Comedy, Drama",8.7,17615,1978
tt6019206,"Kill Bill: The Whole Bloody Affair","Action, Crime, Thriller",8.7,17422,2006
tt0076276,"Who's Singin' Over There?","Adventure, Comedy, Drama",8.7,16894,1980
tt7738784,Peranbu,"Drama, Family",8.7,16835,2018
tt0201368,"The Broken Landlord","Comedy, Drama",8.7,16651,1985
tt0214915,Manichithrathazhu,"Comedy, Horror, Mystery",8.7,12877,1993
tt8737152,Toma,"Biography, Drama, Music",8.7,12647,2021
tt0765833,"Happy Days","Comedy, Drama, Family",8.7,12143,1978
tt0090015,Shoah,"Documentary, History, War",8.7,10770,1985
tt0114369,Se7en,"Crime, Drama, Mystery",8.6,1843148,1995
tt0102926,"The Silence of the Lambs","Crime, Drama, Thriller",8.6,1583402,1991
tt0120815,"Saving Private Ryan","Drama, War",8.6,1526168,1998
tt0076759,"Star Wars: Episode IV - A New Hope","Action, Adventure, Fantasy",8.6,1474426,1977
tt0120689,"The Green Mile","Crime, Drama, Fantasy",8.6,1438827,1999
tt0103064,"Terminator 2: Judgment Day","Action, Adventure, Sci-Fi",8.6,1198133,1991
tt0245429,"Spirited Away","Adventure, Animation, Family",8.6,874537,2001
tt0317248,"City of God","Crime, Drama",8.6,815653,2002
tt0118799,"Life Is Beautiful","Comedy, Drama, Romance",8.6,756452,1997
tt10811166,"The Kashmir Files",Drama,8.6,575253,2022
tt0038650,"It's a Wonderful Life","Drama, Family, Fantasy",8.6,507180,1946
tt9362722,"Spider-Man: Across the Spider-Verse","Action, Adventure, Animation",8.6,407996,2023
tt0047478,"Seven Samurai","Action, Drama",8.6,373359,1954
tt0056058,Harakiri,"Action, Drama, Mystery",8.6,72423,1962
